Year,Total Assets,Revenues,Operating income,Net cash flow by operating activity,Net cash flow by investing activity,Net cash flow by financial activity,Headcount,Attrition rate,Net cash flow ,Operating Margin,Net income,Income after tax,Current Assets,Current Liabilities,Total Liabilities,Total Equity,Predicted revenue,EPS,Dividend,Buybacks,Shares outstanding,Predicted operating margin_ann,Dividend yeild
2006,26114,24326,3500,3740,-1710,-2246,646.624,16.85,-216,14.38789772260133,2593,2629,8723,3554,5202,20912,22876,2.3,0.68,1115,472,10.73,29.565217391304355
2007,23334,14486,2231,2067,-2418,752,483.544,32.69,401,15.401076901836255,1801,1818,6562,5946,4507,18827,16334,7.08,1.46,442,673,10.89,20.62146892655367
2008,27622,21255,4138,1999,-1015,1330,345.374,11.75,2314,21.378360385791577,3259,3288,8001,5378,11881,15741,22433,3.15,0.43,2567,655,22.44,13.650793650793652
2009,27890,22840,4827,4286,-2495,1843,301.09,8.93,3634,21.13397548161121,4253,4229,11627,4724,9760,18130,21874,5.39,1.44,1544,523,23.37,26.716141001855288
2010,22075,16998,2733,2637,-2943,-2756,648.813,22.27,-3062,16.078362160254148,2414,2404,9992,6181,5579,16496,15355,2.17,0.29,308,601,22.73,13.36405529953917
2011,31599,21382,3628,3328,542,-1459,645.39,25.88,2828,16.967542793003464,2507,2502,9965,4761,10544,21055,19750,6.91,1.45,1390,460,22.58,20.98408104196816
2012,27888,24087,5465,4696,-126,-3173,302.466,17.72,1397,22.68858720471624,4562,4561,6182,3842,7106,20782,27000,2.74,0.69,653,523,16.2,25.182481751824813
2013,27467,24489,2974,2192,-2887,563,616.957,18.15,-132,10.004228020744007,2278,2310,12509,2198,9742,17725,23071,4.89,1.35,855,443,11.04,27.607361963190186
2014,20583,29582,4143,3887,-1416,-2381,450.807,32.18,90,14.005138259752552,2554,2591,4605,2693,6324,14259,27390,6.45,0.59,1043,666,13.49,9.147286821705427
2015,30592,21820,2431,2501,458,407,539.527,29.61,3366,11.14115490375802,2020,2057,10293,3482,5512,25080,20508,4.27,0.38,2316,526,18.75,8.899297423887589
2016,31676,26865,4927,2684,-3153,-412,383.882,34.38,-881,18.339847385073515,3193,3156,12906,5838,8085,23591,24859,2.04,0.5,467,625,13.43,24.509803921568626
2017,21511,26888,5854,2997,678,-3027,319.471,22.32,648,21.771794108896163,4522,4512,11279,4230,4100,17411,24237,3.83,0.91,385,573,9.72,27.159791122715404
2018,14245,18597,3506,3393,-1927,668,460.057,33.41,2134,18.85250309189654,3064,3080,5638,2498,11235,3010,20913,6.45,1.68,1221,539,11.97,26.046511627906977
2019,25898,10459,1308,1210,909,-2955,276.739,15.22,-836,15.275975714695477,948,969,10906,1828,7962,17936,11357,6.4,1.51,1545,512,12.53,23.59375
2020,25468,18932,4352,3595,-1766,-3069,550.001,6.3,-1240,22.98753433340376,3871,3854,7642,4965,12237,13231,18747,1.27,1.0,2302,655,9.88,78.74015748031495
2021,29889,14539,2542,3330,140,1941,336.032,24.39,5411,17.48400852878465,1919,1943,11275,2286,10700,19189,13782,5.8,0.72,649,673,13.28,12.413793103448276
2022,20966,16228,2565,2836,-2468,159,300.485,23.96,527,15.806014296278036,1534,1541,9348,2732,7683,13283,15960,8.19,0.54,556,461,18.0,7.336956521739131
2023,14257,11588,2623,2020,-3156,2194,224.892,18.05,1058,22.63548498446669,1637,1642,8485,4947,7378,6879,11785,3.49,0.34,2477,691,10.66,9.742120343839542
2024,19299,23286,2489,955,-3305,586,377.839,11.7,-1764,9.32882590397664,1515,1535,8122,6296,13204,6095,21139,1.27,0.39,1910,604,12.69,30.708661417322837
2025,31303,28475,6009,4166,-915,1855,649.25,7.32,5106,23.5827216856892,5360,5396,5277,5687,13294,18009,28082,7.2,0.68,1313,683,10.18,9.444444444444445
