Year,Quarters,Total Assets,Revenues,Operating income,Net cash flow by operating activity,Net cash flow by investing activity,Net cash flow by financial activity,Headcount,Attrition rate,Operating margin,Net cash flow,Current Assets,Current Liabilities,Total Liabilities,Total Equity,Net Income,Predicted revenue,EPS,Dividend,Buybacks,Shares outstanding,Stock price ,Dividend Yeild
2020,Q1,17429,4225,579,497,-272,1135,291.7,13,13.70414201,1241,8325,2872,6816,10613,367,4230,0.67,0.22,511,546,69.5,0.316546763
2020,Q2,18216,4000,467,979,-259,-171,281.2,11,11.675,536,8531,3212,7244,10972,361,4170,0.67,0.22,74,541,51.45,0.427599611
2020,Q3,18787,4243,603,925,-658,-347,283.1,10,14.21164271,14,8619,3296,7647,11140,348,0,0.64,0.22,248,543,65.72,0.3347535
2020,Q4,16923,4184,465,898,-49,-2626,289.5,16,11.11376673,-1756,6851,3540,6087,10836,316,0,0.59,0.22,788,541,76.5,0.287581699
2021,Q1,16600,4401,669,181,-538,-340,296.5,18,15.20109066,-707,6595,3150,5623,11037,505,4360,0.95,0.24,240,531,73.64,0.325909832
2021,Q2,16829,4585,696,541,-721,-428,301.2,29,15.17993457,-605,6451,3183,5624,11205,512,4440,0.97,0.24,320,528,71.24,0.336889388
2021,Q3,17232,4744,729,948,-407,-239,318.4,33,15.36677909,296,6995,3319,5686,11546,544,4715,1.03,0.24,129,526,79,0.303797468
2021,Q4,17852,4777,732,825,-498,-196,330.6,31,15.32342474,128,7342,3529,5861,11991,576,4770,1.1,0.24,82,528,79.5,0.301886792
2022,Q1,17434,4826,724,306,700,-600,340.4,30,15.00207211,400,7077,3186,5461,11973,563,4820,1.07,0.27,474,525,87.4,0.308924485
2022,Q2,17258,4906,760,528,-471,-450,341.3,31,15.49123522,-424,7023,3153,5308,11950,577,4920,1.11,0.27,318,521,72.5,0.372413793
2022,Q3,17347,4857,798,1032,-257,-458,349.4,29,16.429895,274,7317,3223,5389,11958,629,5005,1.22,0.27,315,517,66.5,0.406015038
2022,Q4,17852,4839,686,702,-78,-431,355,26,14.17648274,252,7266,3347,5543,12309,521,4745,1.01,0.27,315,519,60.01,0.449925012
2023,Q1,18147,4812,702,729,-215,-350,352,23,14.58852868,164,7228,3321,5486,12661,580,4735,1.14,0.29,222,509,65.45,0.443086325
2023,Q2,17967,4886,577,36,-85,-354,346,19,11.80925092,-403,6951,3056,5064,12903,463,4855,0.91,0.29,214,507,63.05,0.459952419
2023,Q3,18079,4897,686,828,-199,-450,347,16,14.00857668,149,7127,3191,5197,12882,525,4915,1.04,0.29,315,505,70.01,0.414226539
2023,Q4,18483,4758,724,737,168,-455,348,13,15.21647751,513,7506,3333,5256,13227,558,4755,1.12,0.29,313,505,71.17,0.40747506
2024,Q1,,,,,,,,,,,,,,,,4720,,,,,,
2024,Q2,,,,,,,,,,,,,,,,4785,,,,,,
2024,Q3,,,,,,,,,,,,,,,,4925,,,,,,
2024,Q4,,,,,,,,,,,,,,,,,,,,,,
