Year,Quarters,Total Assets,Revenues,Operating income,Net cash flow by operating activity,Net cash flow by investing activity,Net cash flow by financial activity,Headcount,Attrition rate,Operating margin,Net cash flow,Current Assets,Current Liabilities,Total Liabilities,Total Equity,Net Income,Predicted revenue,EPS,Dividend,Buybacks,Shares outstanding,Stock price ,Dividend Yeild
2020,Q1,17429.0,4225.0,579.0,497.0,-272.0,1135.0,291.7,13.0,13.70414201183432,1360.0,8325.0,2872.0,6816.0,10613.0,367.0,4230.0,0.67,0.22,511.0,546.0,69.5,0.3165467625899281
2020,Q2,18216.0,4000.0,467.0,979.0,-259.0,-171.0,281.2,11.0,13.42,549.0,8531.0,3212.0,7244.0,10972.0,361.0,4170.0,0.67,0.22,74.0,541.0,51.45,0.4275996112730806
2020,Q3,18787.0,4243.0,603.0,925.0,-658.0,-347.0,283.1,10.0,14.211642705632807,-80.0,8619.0,3296.0,7647.0,11140.0,348.0,0.0,0.64,0.22,248.0,543.0,65.72,0.33475349969567864
2020,Q4,16923.0,4184.0,465.0,898.0,-49.0,-2626.0,289.5,16.0,11.11376673040153,-1256.0,6851.0,3540.0,6087.0,10836.0,316.0,0.0,0.59,0.22,788.0,541.0,76.5,0.2875816993464052
2021,Q1,16600.0,4401.0,669.0,181.0,-538.0,-340.0,296.5,18.0,15.20109066121336,-697.0,6595.0,3150.0,5623.0,11037.0,505.0,4360.0,0.95,0.24,240.0,531.0,73.64,0.42
2021,Q2,16829.0,4585.0,696.0,541.0,-721.0,-428.0,301.2,29.0,15.179934569247546,-608.0,6451.0,3183.0,5624.0,11205.0,512.0,4440.0,0.97,0.24,320.0,528.0,71.24,0.3368893879842785
2021,Q3,17232.0,4744.0,729.0,948.0,-407.0,-239.0,318.4,33.0,15.366779089376054,302.0,6995.0,3319.0,5686.0,11546.0,544.0,4715.0,1.03,0.24,129.0,526.0,79.0,0.3037974683544304
2021,Q4,17852.0,4777.0,732.0,825.0,-498.0,-196.0,330.6,31.0,15.323424743562905,131.0,7342.0,3529.0,5861.0,11991.0,576.0,4770.0,1.1,0.24,82.0,528.0,79.5,0.3018867924528302
2022,Q1,17434.0,4826.0,724.0,306.0,700.0,-600.0,340.4,30.0,15.002072109407377,406.0,7077.0,3186.0,5461.0,11973.0,563.0,4820.0,1.07,0.27,474.0,525.0,87.4,0.30892448512585813
2022,Q2,17258.0,4906.0,760.0,528.0,-471.0,-450.0,341.3,31.0,15.491235222176927,-393.0,7023.0,3153.0,5308.0,11950.0,577.0,4920.0,1.11,0.27,318.0,521.0,72.5,0.3724137931034483
