Year,Quarters,Total Assets,Revenues,Operating income,Net cash flow by operating activity,Net cash flow by investing activity,Net cash flow by financial activity,Headcount,Attrition rate,Operating margin,Net cash flow,Current Assets,Current Liabilities,Total Liabilities,Total Equity,Net Income,Predicted revenue,EPS,Dividend,Buybacks,Shares outstanding,Stock price ,Dividend Yeild
2019,Q1,25522,3687,686,332,350,-1228,399.941,21.01,18.60591266612422,-546,8492,4719,14906,10616,530,4243,1.13,0.34,451,651,154.6,0.2199223803363519
2019,Q2,20124,3593,439,225,-816,-696,331.628,12.57,14.038202059560255,-1287,8790,3844,13964,6160,366,3263,0.59,0.45,328,398,65.14,0.6908197727970525
2019,Q3,12573,6383,1301,1379,-136,-769,558.387,27.96,20.38226539244869,474,7981,2475,6970,5603,672,5855,1.68,0.18,789,599,37.99,0.4738088970781784
2019,Q4,21249,2828,431,1568,712,976,402.216,8.79,15.24045261669024,3256,10782,1754,5572,15677,239,2766,1.4,0.13,661,382,118.74,0.1094829038234798
2020,Q1,27536,3438,570,1608,-8,-435,351.325,6.37,16.57940663176265,804,6419,5044,11570,15966,416,3963,1.85,0.15,396,526,124.3,0.1206757843925985
2020,Q2,32395,4528,540,470,-122,-1058,453.058,9.9,11.925795053003531,-710,7772,3157,7314,25081,357,5049,0.47,0.19,635,434,130.91,0.1451378809869375
2020,Q3,21811,2370,469,1723,341,28,464.632,17.59,18.31902953586498,2092,4578,5998,5612,16199,262,2701,1.01,0.1,589,423,119.17,0.0839137366786943
2020,Q4,25311,5315,836,396,-482,-1417,591.793,8.98,15.72906867356538,-1503,10018,4640,12562,12749,688,5642,1.11,0.34,134,489,52.59,0.6465107434873549
2021,Q1,31236,6506,1112,500,750,-1053,400.436,21.03,17.091915155241317,197,11029,3023,5732,25504,775,7472,0.8,0.44,239,504,154.99,0.2838892831795599
2021,Q2,34424,7068,1556,1027,326,191,325.183,14.42,22.014714204867005,1544,7201,2826,13139,21285,1310,7843,1.01,0.38,712,401,108.75,0.3494252873563218
2021,Q3,13820,7819,1649,1480,327,-390,501.531,16.47,21.08965340836424,1417,7232,4812,7045,6775,1085,7842,2.27,0.17,224,528,55.38,0.3069700252798844
2021,Q4,30992,3273,334,857,157,-223,347.325,32.87,10.2047051634586,791,10663,5296,6165,24827,259,3295,1.64,0.43,60,569,141.72,0.3034151848715777
2022,Q1,12977,6622,932,1395,-267,-648,317.299,18.61,14.074297795228029,480,10717,2691,4029,8948,526,6557,0.8,0.36,216,422,64.63,0.557016865232864
2022,Q2,35928,3377,338,881,-518,-929,442.295,35.85,10.008883624518804,-566,9333,3560,4487,31441,289,3727,1.37,0.32,880,678,94.29,0.3393785130978894
2022,Q3,35708,4537,572,1664,329,-53,440.32,36.0,14.717449856733523,1940,4890,2278,5122,30586,519,4441,0.74,0.4,584,559,82.9,0.482509047044632
2022,Q4,16975,4159,787,1866,-399,-1116,251.522,32.07,18.92281798509257,351,10759,5139,10165,6810,672,3629,1.84,0.48,301,434,152.03,0.3157271591133329
2023,Q1,21711,7416,954,1274,508,-402,405.968,21.83,12.864077669902912,1380,4686,2354,8967,12744,541,6924,0.91,0.37,450,680,76.88,0.4812695109261186
2023,Q2,18961,6911,876,156,-944,-647,607.304,24.17,12.675444942844742,-943,10201,5606,12836,6125,560,6563,1.84,0.28,768,407,54.37,0.5149898841272762
2023,Q3,15466,3015,458,613,159,-1441,667.601,15.8,15.190713101160863,-669,4572,3807,11601,3865,295,3076,2.13,0.32,592,614,120.04,0.2665778073975341
2023,Q4,34709,6421,693,137,-1084,964,271.337,31.04,10.79271141566734,17,8667,3392,4413,30296,396,7403,0.5,0.17,873,487,90.25,0.1883656509695291
2024,Q1,21168,5545,1018,1344,-782,587,460.175,18.3,18.35888187556357,1149,8265,4549,10693,10475,518,6350,1.19,0.07,330,511,53.2,0.131578947368421
2024,Q2,18918,7122,732,1040,-1379,489,622.924,26.36,8.228011794439766,150,9727,4457,4077,14841,613,6362,1.78,0.07,899,420,48.15,0.1453790238836968
2024,Q3,31308,5030,707,1563,642,-601,308.018,13.94,14.055666003976144,1604,6179,4180,4632,26676,385,4558,1.35,0.37,100,684,58.24,0.6353021978021978
2024,Q4,12664,5606,1038,1507,399,-1482,563.887,32.12,18.515875847306457,424,8126,1893,8154,4510,903,5216,1.96,0.23,556,681,122.27,0.1881082849431586
2025,Q1,14538,5384,1085,1626,-1,476,651.959,14.23,20.152303120356613,2101,12149,5721,9477,5061,944,4794,1.44,0.32,496,403,143.6,0.2228412256267409
2025,Q2,29484,7838,1829,1499,675,-863,639.433,18.81,23.33503444756316,1311,7289,5254,6391,23093,1011,8805,0.65,0.27,769,710,118.67,0.4375216988286846
2025,Q3,14160,7906,704,1627,-133,-384,478.643,23.27,8.904629395395903,1110,12483,5423,7329,6831,597,8480,1.39,0.46,266,689,125.8,0.3656597774244833
2025,Q4,31035,5190,714,1239,-869,76,199.104,19.7,13.75722543352601,446,9890,2227,8881,22154,478,5282,1.83,0.09,859,635,152.78,0.05890823406205
2026,Q3,31017,5293,568,1709,27,281,358.362,20.03,12.361154354808235,2017,7308,4803,12355,18662,312,5407,2.06,0.43,227,521,117.23,0.36680030708862915
2026,Q4,35177,3282,597,1143,534,-945,519.377,18.86,18.190127970749543,277,5333,5450,6939,28238,343,3276,2.12,0.27,719,392,118.64,0.2275792312879299
